"","x"
"1","Copland, Aaron"
"2","Kernis, Aaron Jay"
"3","Adams, John"
"4","Schoenberg, Adam"
"5","Hailstork, Adolphus"
"6","Hovhaness, Alan"
"7","Yim, Jay Alan"
"8","Shulman, Alan"
"9","Stoessel, Albert"
"10","Albright, William"
"11","Carpenter, John Alden"
"12","Wilder, Alec"
"13","Tcherepnin, Alexander"
"14","North, Alex"
"15","Newman, Alfred"
"16","Reed, Alfred"
"17","Reiser, Alois"
"18","Etler, Alvin"
"19","Beach, Amy"
"20","Anastasio, Trey"
"21","Anderson, Leroy"
"22","Imbrie, Andrew"
"23","Fuleihan, Anis"
"24","Antheil, George"
"25","Davis, Anthony"
"26","Argento, Dominick"
"27","Schoenberg, Arnold"
"28","Berger, Arthur"
"29","Bird, Arthur"
"30","Bruhns, Arthur"
"31","Cunningham, Arthur"
"32","Farwell, Arthur"
"33","Foote, Arthur"
"34","Frackenpohl, Arthur"
"35","Shepherd, Arthur"
"36","Auerbach, Lera"
"37","Austin, Larry"
"38","Avshalomov, Jacob"
"39","Babbitt, Milton"
"40","Bacon, Ernst"
"41","Baker, Claude"
"42","Balada, Leonardo"
"43","Ballantine, Edward"
"44","Barab, Seymour"
"45","Kolb, Barbara"
"46","Barber, Samuel"
"47","Bassett, Leslie"
"48","Bazelon, Irwin"
"49","Beaser, Robert"
"50","Becker, John J."
"51","Lees, Benjamin"
"52","Bennett, Robert Russell"
"53","Berger, Jean"
"54","Bergsma, William"
"55","Bermel, Derek"
"56","Herrmann, Bernard"
"57","Hoffer, Bernard"
"58","Rands, Bernard"
"59","Rogers, Bernard"
"60","Wagenaar, Bernard"
"61","Heiden, Bernhard"
"62","Bernstein, Elmer"
"63","Bezanson, Philip"
"64","Bilik, Jerry"
"65","Fairchild, Blair"
"66","Blitzstein, Marc"
"67","Bloch, Ernest"
"68","Bolcom, William"
"69","Bonds, Margaret"
"70","Borowski, Felix"
"71","Bowles, Paul"
"72","Brant, Henry"
"73","Bresnick, Martin"
"74","Sheng, Bright"
"75","Bristow, George Frederick"
"76","Brock, Timothy"
"77","Brockway, Howard"
"78","Brown, Earle"
"79","Brubeck, Howard"
"80","Bucci, Mark"
"81","Buck, Dudley"
"82","Hill, Edward Burlingame"
"83","Phillips, Burrill"
"84","Cadman, Charles Wakefield"
"85","Cage, John"
"86","Floyd, Carlisle"
"87","Menotti, Gian Carlo"
"88","Ruggles, Carl"
"89","Cooley, Carlton"
"90","Carter, Elliott"
"91","Chadwick, George Whitefield"
"92","Charles, Ernest"
"93","Dodge, Charles"
"94","Ives, Charles"
"95","Loeffler, Charles Martin"
"96","Naginski, Charles"
"97","Skilton, Charles Sanford"
"98","Wuorinen, Charles"
"99","Rouse, Christopher"
"100","Perkinson, Coleridge-Taylor"
"101","Nancarrow, Conlon"
"102","Cook, Will Marion"
"103","Coolidge, Peggy Stuart"
"104","Creston, Paul"
"105","Crumb, George"
"106","Currier, Sebastian"
"107","Dahl, Ingolf"
"108","Damrosch, Walter"
"109","Felsenfeld, Daniel"
"110","Mason, Daniel Gregory"
"111","Pinkham, Daniel"
"112","Danielpour, Richard"
"113","Daniels, Mabel Wheeler"
"114","Hagen, Daron"
"115","Daugherty, Michael"
"116","Del Tredici, David"
"117","Diamond, David"
"118","Lang, David"
"119","Maslanka, David"
"120","Davidovsky, Mario"
"121","Smith, David Stanley"
"122","Vactor, David Van"
"123","Drummond, Dean"
"124","Drattell, Deborah"
"125","Taylor, Deems"
"126","Menasce, Jacques De"
"127","Dello Joio, Norman"
"128","Van Der Stucken, Frank"
"129","Dlugoszewski, Lucia"
"130","Erb, Donald"
"131","Grantham, Donald"
"132","Martino, Donald"
"133","Gillis, Don"
"134","Moore, Dorothy Rudd"
"135","Dresher, Paul"
