"","Name1","firstPerf1","Year.of.death"
"4","Achron, Isidor","1937","1948"
"10","Adams, John","1982","2016"
"11","Addinsell, Richard","1945","1977"
"18","Aho, Kalevi","2014","2016"
"28","Albert, Stephen","1994","1992"
"31","Albright, William","1976","1998"
"37","Alnaes, Eyvind","1938","1932"
"47","Amirov, Fikret","1959","1984"
"48","Amram, David","1966","2016"
"52","Amy, Gilbert","1983","2016"
"58","Andersen, Joachim","1933","1909"
"60","Anderson, Julian","2010","2016"
"64","Anderson, Leroy","1945","1975"
"70","Andre, Mark","2013","2016"
"73","Andres, Timo","2014","2016"
"75","Andriessen, Louis","1985","2016"
"80","Antheil, George","1945","1959"
"86","Arditi, Luigi","1896","1903"
"88","Argento, Dominick","1972","2016"
"90","Arndt, Felix","1944","1918"
"92","Arnell, Richard","1949","2009"
"102","Atterberg, Kurt","1928","1974"
"104","Aubert, Louis","1915","1968"
"105","Auerbach, Lera","2008","2016"
"109","Austin, Larry","1963","2016"
"113","Avshalomov, Jacob","1983","2013"
"118","Babbitt, Milton","1965","2011"
"124","Bacewicz, Grazyna","1975","1969"
"133","Bacon, Ernst","1942","1990"
"137","Baird, Tadeusz","1963","1981"
"138","Baker, Claude","1991","2016"
"144","Balada, Leonardo","1982","2016"
"156","Ballantine, Edward","1924","1971"
"158","Bantock, Granville","1914","1946"
"160","Barab, Seymour","1952","2014"
"164","Barber, Samuel","1934","1981"
"166","Bardanashvili, Josef","2014","2016"
"168","Barkauskas, Vytautas","2004","2016"
"186","Bassett, Leslie","1978","2016"
"190","Bate, Stanley","1942","1959"
"191","Bates, Django","1997","2016"
"192","Bates, Mason","2006","2016"
"206","Beach, Amy","1892","1944"
"208","Beaser, Robert","1983","2016"
"209","Beck, Conrad","1938","1989"
"210","Becker, John J.","1939","1961"
"216","Bell, William Henry","1937","1946"
"221","Ben-Haim, Paul","1958","1984"
"222","Benatzky, Ralph","1942","1957"
"227","Benjamin, Arthur","1940","1960"
"228","Benjamin, George","1987","2016"
"232","Bennett, Richard Rodney","1967","2012"
"233","Bennett, Robert Russell","1930","1981"
"238","Bentzon, Niels Viggo","1956","2000"
"240","Berg, Alban","1930","1935"
"242","Berger, Arthur","1952","2003"
"246","Berger, Jean","1945","2002"
"252","Bergsma, William","1945","1994"
"255","Berio, Luciano","1968","2003"
"264","Bermel, Derek","2007","2016"
"273","Bernstein, Leonard","1943","1990"
"278","Bezanson, Philip","1953","1975"
"280","Biebl, Franz","1997","2001"
"282","Bilik, Jerry","1967","2016"
"287","Birtwistle, Harrison","1974","2016"
"295","Blacher, Boris","1953","1975"
"304","Bliss, Arthur","1938","1975"
"306","Blitzstein, Marc","1943","1964"
"307","Bloch, Ernest","1917","1959"
"309","Blomdahl, Karl-Birger","1966","1968"
"313","Blumenfeld, Felix","1994","1931"
"325","Boito, Arrigo","1919","1918"
"326","Bolcom, William","1972","2016"
"332","Bonds, Margaret","1979","1972"
"344","Bossi, Marco Enrico","1910","1925"
"347","Boulanger, Lili","1918","1918"
"348","Boulez, Pierre","1959","2016"
"354","Bowen, York","1994","1961"
"356","Bowles, Paul","1993","1999"
"364","Brant, Henry","1941","2008"
"370","Braunfels, Walter","1924","1954"
"373","Bresnick, Martin","1983","2016"
"381","Bridge, Frank","1917","1941"
"383","Britten, Benjamin","1938","1976"
"392","Brown, Earle","1963","2002"
"400","Bruce, David","2014","2016"
"404","Bruch, Max","1866","1920"
"409","Brun, Fritz","1938","1959"
"410","Bruneau, Alfred","1899","1934"
"420","Bungert, August","1914","1915"
"432","Busoni, Ferruccio","1909","1924"
"433","Bussotti, Sylvano","1985","2016"
"438","Butterworth, George","1935","1916"
"446","Cage, John","1963","1992"
"457","Canteloube, Joseph","1945","1957"
"461","Carpenter, John Alden","1914","1951"
"464","Carrick, Richard","2008","2016"
"465","Carter, Elliott","1956","2012"
"471","Casals, Pablo","1968","1973"
"472","Casella, Alfredo","1918","1947"
"486","Cerha, Friedrich","2013","2016"
"493","Chadwick, George Whitefield","1895","1931"
"494","Chagrin, Francis","1966","1972"
"497","Chan, Ka Nin","2005","2016"
"501","Charles, Ernest","1945","1984"
"503","Charpentier, Gustave","1898","1956"
"504","Chasins, Abram","1930","1987"
"508","Chaynes, Charles","1995","2016"
"515","Cherubini, Luigi","1845","1842"
"518","Chin, Unsuk","2012","2016"
"532","Cilea, Francesco","1948","1950"
"536","Clapp, Philip Greeley","1949","1954"
"538","Clarke, Rebecca","1997","1979"
"546","Coates, Eric","1943","1957"
"555","Coleridge-Taylor, Samuel","1914","1912"
"556","Colgrass, Michael","1977","2016"
"569","Cooke, Arnold","1996","2005"
"573","Cooley, Carlton","1941","1981"
"575","Coolidge, Peggy Stuart","1988","1981"
"578","Copland, Aaron","1924","1990"
"580","Cordero, Roque","1977","2008"
"585","Corghi, Azio","2009","2016"
"602","Cras, Jean","2011","1932"
"606","Creston, Paul","1940","1985"
"609","Crumb, George","1971","2016"
"617","Currier, Sebastian","2008","2016"
"630","Dahl, Ingolf","1987","1970"
"635","Dallapiccola, Luigi","1953","1975"
"636","Damase, Jean-Michel","1953","2013"
"641","Damrosch, Walter","1890","1950"
"643","Danielpour, Richard","1995","2016"
"647","Daniels, Mabel Wheeler","1937","1971"
"651","Daugherty, Michael","1989","2016"
"657","Davidovsky, Mario","1971","2016"
"663","Davis, Anthony","1983","2016"
"681","Deak, Jon","1975","2016"
"682","Debussy, Claude","1904","1918"
"685","Del Tredici, David","1972","2016"
"691","Delius, Frederick","1910","1934"
"692","Dell'Acqua, Eva","1938","1930"
"693","Dello Joio, Norman","1946","2008"
"700","Denisov, Edison","1966","1996"
"702","Denza, Luigi","1936","1922"
"703","Dessau, Paul","1995","1979"
"713","Diamond, David","1937","2005"
"720","Dick, Robert","1983","2016"
"721","Diepenbrock, Alphons","1921","1921"
"727","Distler, Hugo","1997","1942"
"731","Djawadi, Ramin","2013","2016"
"732","Dlugoszewski, Lucia","1975","2000"
"734","Dodge, Charles","1983","2016"
"744","Donatoni, Franco","1976","2000"
"745","Donaudy, Stefano","2006","1925"
"746","Donizetti, Gaetano","1843","1848"
"751","Doret, Gustave","1938","1943"
"752","Dorman, Avner","2008","2016"
"760","Doyle, Patrick","2013","2016"
"761","Draeseke, Felix","1884","1913"
"764","Drattell, Deborah","1989","2016"
"765","Dresher, Paul","1985","2016"
"769","Drigo, Riccardo","1925","1930"
"770","Dring, Madeleine","1991","1977"
"771","Druckman, Jacob","1972","1996"
"772","Drummond, Dean","1983","2013"
"782","Dufourt, Hugues","1985","2016"
"787","Dukas, Paul","1909","1935"
"788","Duke, Vernon","1943","1969"
"793","Duparc, Henri","1904","1933"
"794","Dupont, Gabriel","1918","1914"
"799","Dutilleux, Henri","1957","2013"
"817","Edwards, Ross","2004","2016"
"823","Egk, Werner","1934","1983"
"826","Eichheim, Henry","1931","1942"
"828","Eilenberg, Richard","1927","1927"
"835","Eliasson, Anders","1977","2013"
"836","Eliasson, Anders","1977","2016"
"852","Erb, Donald","1983","2008"
"857","Erickson, Robert","1983","1997"
"859","Escaich, Thierry","2014","2016"
"863","Escot, Pozzi","1975","2016"
"873","Etler, Alvin","1962","1973"
"877","Ewazen, Eric","1994","2016"
"881","Eysler, Edmund","1944","1949"
"891","Falla, Manuel de","1923","1946"
"903","Feldman, Morton","1963","1987"
"905","Felsenfeld, Daniel","2013","2016"
"910","Ferguson, Howard","1952","1999"
"924","Fine, Irving","1958","1963"
"925","Finzi, Gerald","2012","1956"
"942","Fletcher, Percy","1915","1932"
"943","Floridia, Pietro","1915","1932"
"945","Floyd, Carlisle","1966","2016"
"952","Foote, Arthur","1898","1937"
"954","Foss, Lukas","1944","2009"
"960","Frackenpohl, Arthur","2012","2016"
"965","Francesconi, Luca","2014","2016"
"972","Frank, Gabriela Lena","2007","2016"
"991","Fuchs, Kenneth","1989","2016"
"995","Fuchs, Robert","1876","1927"
"997","Fujikura, Dai","2013","2016"
"1001","Fusco, Giovanni","2014","1968"
"1008","Gaburo, Kenneth","1954","1993"
"1026","Gardel, Carlos","2004","1935"
"1036","Gaubert, Philippe","1997","1941"
"1044","Genzmer, Harald","2001","2007"
"1052","Gerhard, Roberto","1962","1970"
"1053","German, Edward","1907","1936"
"1054","Gernsheim, Friedrich","1912","1916"
"1055","Gershwin, George","1925","1937"
"1059","Ghedini, Giorgio Federico","1949","1965"
"1061","Giannini, Vittorio","1939","1966"
"1068","Gillis, Don","1945","1978"
"1070","Gilson, Paul","1892","1942"
"1072","Ginastera, Alberto","1956","1983"
"1074","Giordano, Umberto","1905","1948"
"1076","Glanert, Detlev","2015","2016"
"1081","Glass, Philip","2011","2016"
"1085","Glazunov, Alexander","1897","1936"
"1096","Godowsky, Leopold","1915","1938"
"1098","Goehr, Alexander","1970","2016"
"1109","Goldmark, Karl","1869","1915"
"1110","Goldmark, Rubin","1916","1936"
"1111","Goldsmith, Jerry","2004","2004"
"1116","Golijov, Osvaldo","2002","2016"
"1133","Gould, Morton","1937","1996"
"1139","Grainger, Percy","1914","1961"
"1140","Granados, Enrique","1916","1916"
"1141","Grandjany, Marcel","1991","1975"
"1143","Grantham, Donald","2007","2016"
"1161","Grieg, Edvard","1878","1907"
"1164","Grime, Helen","2013","2016"
"1167","Griselle, Thomas","1945","1955"
"1168","Grisey, Gerard","2010","1998"
"1173","Gruber, HK","2009","2016"
"1174","Gruenberg, Louis","1921","1964"
"1179","Guarnieri, Camargo","1943","1993"
"1180","Gubaidulina, Sofia","1984","2016"
"1198","Hadley, Henry Kimball","1901","1937"
"1200","Hageman, Richard","1919","1966"
"1201","Hagen, Daron","1989","2016"
"1209","Hahn, Reynaldo","1945","1947"
"1210","Haieff, Alexei","1957","1994"
"1211","Hailstork, Adolphus","1977","2016"
"1220","Halvorsen, Johan","1921","1935"
"1224","Hampton, Calvin","1976","1984"
"1229","Hanson, Howard","1923","1981"
"1230","Harbison, John","1982","2016"
"1239","Harris, Donald","1974","2016"
"1245","Harris, Roy","1925","1979"
"1246","Harrison, Lou","1973","2003"
"1251","Hartke, Stephen","1986","2016"
"1256","Hartmann, Karl Amadeus","1973","1963"
"1257","Harty, Hamilton","1932","1941"
"1258","Harvey, Jonathan","1997","2012"
"1267","Hausegger, Siegmund von","1901","1948"
"1273","Hegar, Friedrich","1916","1927"
"1276","Heiden, Bernhard","1956","2000"
"1286","Hely-Hutchinson, Victor","2006","1947"
"1293","Henze, Hans Werner","1962","2012"
"1295","Herbert, Victor","1886","1924"
"1296","Herman, Jerry","2001","2016"
"1300","Herrmann, Bernard","1939","1975"
"1301","Hersch, Michael","2013","2016"
"1310","Heuberger, Richard","1945","1914"
"1316","Hillborg, Anders","2012","2016"
"1321","Hindemith, Paul","1925","1963"
"1328","Hoffer, Bernard","1990","2016"
"1330","Hofmann, Josef","1904","1957"
"1335","Holliger, Heinz","2013","2016"
"1339","Holst, Gustav","1921","1934"
"1342","Honegger, Arthur","1924","1955"
"1349","Horowitz, Vladimir","2011","1989"
"1353","Hosokawa, Toshio","2013","2016"
"1357","Hovhaness, Alan","1963","2000"
"1358","Howe, Mary","1935","1964"
"1359","Hubay, Jeno","1917","1937"
"1360","Huber, Hans","1881","1921"
"1362","Hughes, Herbert","1912","1937"
"1366","Humperdinck, Engelbert","1894","1921"
"1370","Husa, Karel","1986","2016"
"1374","Huss, Henry Holden","1897","1953"
"1376","Ibert, Jacques","1926","1962"
"1380","Imbrie, Andrew","1977","2007"
"1386","Infante, Manuel","1935","1958"
"1388","Ippolitov-Ivanov, Mikhail","1918","1935"
"1389","Ireland, John","1937","1962"
"1394","Ivanovici, Ion","1915","1902"
"1395","Ives, Charles","1926","1954"
"1402","Jacob, Gordon","1986","1984"
"1404","Jadassohn, Salomon","1946","1902"
"1408","James, Philip","1932","1975"
"1413","Jarrell, Michael","2011","2016"
"1418","Jessel, Leon","1900","1942"
"1420","Joachim, Joseph","1890","1907"
"1429","Jolas, Betsy","1983","2016"
"1436","Jones, Charles","1947","1997"
"1440","Jongen, Joseph","1905","1953"
"1442","Joplin, Scott","1976","1917"
"1443","Jora, Mihail","1936","1971"
"1446","Josten, Werner","1937","1963"
"1450","Kagel, Mauricio","1985","2008"
"1454","Kahn, Robert","1914","1951"
"1466","Kancheli, Giya","1996","2016"
"1476","Kassern, Tadeusz","1953","1957"
"1478","Katzer, Georg","1996","2016"
"1479","Kaun, Hugo","1910","1932"
"1492","Kennan, Kent","1942","2003"
"1500","Kernis, Aaron Jay","1982","2016"
"1501","Kerr, Harrison","1937","1978"
"1505","Khachaturian, Aram","1941","1978"
"1506","Khrennikov, Tikhon","1941","2007"
"1512","Kilar, Wojciech","1965","2013"
"1517","Kim, Earl","1979","1998"
"1521","Kirchner, Leon","1951","2009"
"1534","Knight, Edward","1989","2016"
"1536","Knipper, Lev","1943","1974"
"1537","Knussen, Oliver","1983","2016"
"1544","Koechlin, Charles","1913","1950"
"1545","Koetsier, Jan","2000","2006"
"1549","Kokkonen, Joonas","1994","1996"
"1551","Kolb, Barbara","1975","2016"
"1567","Koussevitzky, Serge","1937","1951"
"1568","Koutzen, Boris","1950","1966"
"1572","Kraft, William","1972","2016"
"1574","Krasa, Hans","2008","1944"
"1575","Krauze, Zygmunt","1999","2016"
"1580","Kreisler, Fritz","1907","1962"
"1582","Krenek, Ernst","1925","1991"
"1585","Kreutzer, Conradin","1844","1849"
"1589","Kubik, Gail","1956","1984"
"1592","Kurka, Robert","1961","1957"
"1596","La Barbara, Joan","1983","2016"
"1597","La Forge, Frank","1912","1953"
"1598","La Montaine, John","1963","2013"
"1605","Lachert, Piotr","2003","2016"
"1612","Laderman, Ezra","1966","2015"
"1613","Laderman, Ezra","1966","2016"
"1621","Lamond, Frederic","1895","1948"
"1627","Lang, David","1990","2016"
"1634","Langgaard, Rued","1993","1952"
"1636","Lansky, Paul","1983","2016"
"1645","Lauridsen, Morten","1997","2016"
"1650","Lavry, Marc","1951","1967"
"1653","Le Flem, Paul","1921","1984"
"1656","Lecuona, Ernesto","1945","1963"
"1658","Lees, Benjamin","1964","2010"
"1664","Leginska, Ethel","1921","1970"
"1673","Leoncavallo, Ruggero","1896","1919"
"1675","Lerdahl, Fred","1982","2016"
"1682","Levenson, Boris","1932","1947"
"1689","Li, Huanzhi","1971","2000"
"1690","Liang, Lei","2009","2016"
"1694","Liebermann, Lowell","1999","2016"
"1698","Liebermann, Rolf","1949","1999"
"1699","Lieberson, Peter","1974","2011"
"1706","Lindberg, Magnus","1997","2016"
"1713","Lipatti, Dinu","1938","1950"
"1728","Loeffler, Charles Martin","1905","1935"
"1750","Luening, Otto","1935","1996"
"1751","Luigini, Alexandre","1921","1906"
"1758","Lutoslawski, Witold","1960","1994"
"1764","Maazel, Lorin","2004","2014"
"1766","Macero, Teo","1957","2008"
"1775","Mackenna, Carmela","1946","1962"
"1777","Mackey, Steven","2013","2016"
"1779","MacMillan, James","1995","2016"
"1783","Maderna, Bruno","1971","1973"
"1786","Mahler, Gustav","1904","1911"
"1789","Malipiero, Gian Francesco","1920","1973"
"1806","Manoury, Philippe","2013","2016"
"1810","Mantovani, Bruno","2013","2016"
"1816","Markevitch, Igor","1957","1983"
"1822","Marshall, Ingram","2014","2016"
"1823","Martin, Frank","1938","1974"
"1825","Martino, Donald","1975","2005"
"1829","Martinu, Bohuslav","1935","1959"
"1832","Marx, Joseph","1981","1964"
"1834","Mascagni, Pietro","1900","1945"
"1835","Maslanka, David","2005","2016"
"1839","Massenet, Jules","1884","1912"
"1843","Mathieu, Andre","1941","1968"
"1847","Matthews, Colin","2005","2016"
"1848","Matthus, Siegfried","1986","2016"
"1859","Mayuzumi, Toshiro","1960","1997"
"1861","McBride, Robert","1935","2007"
"1867","McCoy, William J.","1925","1926"
"1868","McDonald, Harl","1936","1955"
"1877","McPhee, Colin","1956","1964"
"1881","Medtner, Nikolai","2015","1951"
"1885","Meltzer, Harold","2012","2016"
"1892","Mennin, Peter","1944","1983"
"1893","Menotti, Gian Carlo","1941","2007"
"1900","Merikanto, Oskar","1915","1924"
"1904","Messiaen, Olivier","1946","1992"
"1907","Meyerbeer, Giacomo","1844","1864"
"1913","Mihalovici, Marcel","1936","1985"
"1914","Miki, Minoru","1994","2011"
"1916","Milhaud, Darius","1926","1974"
"1930","Mitropoulos, Dimitri","1967","1960"
"1934","Moeran, Ernest John","1948","1950"
"1953","Montsalvatge, Xavier","1965","2002"
"1959","Moore, Dorothy Rudd","1976","2016"
"1963","Moravec, Paul","2008","2016"
"1964","Morawetz, Oskar","1992","2007"
"1968","Moreno Torroba, Federico","1953","1982"
"1973","Moross, Jerome","1943","1983"
"1975","Morricone, Ennio","1999","2016"
"1980","Moscheles, Ignaz","1847","1870"
"1982","Mosolov, Alexander","1932","1973"
"1985","Moszkowski, Moritz","1890","1925"
"1986","Mouquet, Jules","1918","1946"
"1996","Muhly, Nico","2009","2016"
"1999","Muradeli, Vano","1948","1970"
"2000","Murail, Tristan","1977","2016"
"2007","Musgrave, Thea","1975","2016"
"2012","Mustonen, Olli","2008","2016"
"2018","Naginski, Charles","1940","1940"
"2020","Nancarrow, Conlon","1985","1997"
"2031","Nelson, Ron","1993","2016"
"2041","Neuwirth, Olga","2013","2016"
"2053","Nick, Edmund","1993","1974"
"2056","Nielsen, Carl","1961","1931"
"2058","Niles, John Jacob","1945","1980"
"2064","Nono, Luigi","1971","1990"
"2065","Noon, David","1984","2016"
"2069","Nordoff, Paul","1936","1977"
"2085","O'Hara, Geoffrey","1920","1967"
"2088","Obradors, Fernando","1932","1945"
"2094","Olivero, Betty","1985","2016"
"2098","Oliveros, Pauline","1993","2016"
"2099","Onslow, George","1842","1853"
"2101","Orff, Carl","1959","1982"
"2102","Orrego-Salas, Juan","1959","2016"
"2117","Pacini, Giovanni","1842","1867"
"2118","Paderewski, Ignacy Jan","1895","1941"
"2124","Paine, John Knowles","1889","1906"
"2129","Palmgren, Selim","1915","1951"
"2136","Parker, Horatio","1900","1919"
"2138","Parsons, Michael","2009","2016"
"2145","Patterson, Paul","1998","2016"
"2150","Paulus, Stephen","1993","2016"
"2159","Penderecki, Krzysztof","1972","2016"
"2170","Perkinson, Coleridge-Taylor","1976","2004"
"2174","Perle, George","1996","2009"
"2182","Perry, Julia","1964","1979"
"2183","Persichetti, Vincent","1977","1987"
"2188","Petrassi, Goffredo","1951","2003"
"2195","Pfitzner, Hans","1909","1949"
"2199","Phillips, Burrill","1943","1988"
"2201","Piazzolla, Astor","1996","1992"
"2205","Picker, Tobias","1992","2016"
"2216","Pinkham, Daniel","1962","2006"
