"","Nationality","Date.1","Artist"
"1","Austrian",1896,"Otto Wagner"
"2","French",1987,"Christian de Portzamparc"
"3","Austrian",1903,"Emil Hoppe"
"4","French and Swiss",1980,"Bernard Tschumi"
"5","Austrian",1903,"Emil Hoppe"
"6","French and Swiss",1976,"Bernard Tschumi"
"7","French and Swiss",1976,"Bernard Tschumi"
"8","French and Swiss",1976,"Bernard Tschumi"
"9","French and Swiss",1976,"Bernard Tschumi"
"10","French and Swiss",1976,"Bernard Tschumi"
"11","French and Swiss",1976,"Bernard Tschumi"
"12","French and Swiss",1976,"Bernard Tschumi"
"13","French and Swiss",1976,"Bernard Tschumi"
"14","French and Swiss",1976,"Bernard Tschumi"
"15","French and Swiss",1976,"Bernard Tschumi"
"16","French and Swiss",1976,"Bernard Tschumi"
"17","French and Swiss",1976,"Bernard Tschumi"
"18","French and Swiss",1976,"Bernard Tschumi"
"19","French and Swiss",1976,"Bernard Tschumi"
"20","French and Swiss",1976,"Bernard Tschumi"
"21","French and Swiss",1976,"Bernard Tschumi"
"22","French and Swiss",1976,"Bernard Tschumi"
"23","French and Swiss",1976,"Bernard Tschumi"
"24","French and Swiss",1976,"Bernard Tschumi"
"25","French and Swiss",1976,"Bernard Tschumi"
"26","French and Swiss",1976,"Bernard Tschumi"
"27","French and Swiss",1976,"Bernard Tschumi"
"28","French and Swiss",1976,"Bernard Tschumi"
"29","French and Swiss",1976,"Bernard Tschumi"
"30","French and Swiss",1976,"Bernard Tschumi"
"31","American",1968,"Louis I. Kahn"
"32","French and Swiss",1980,"Bernard Tschumi"
"33","Austrian",1900,"Marcel Kammerer"
"34","French and Swiss",1978,"Bernard Tschumi"
"35","Austrian",1905,"Otto Sch<U+00F6>nthal"
"36","French and Swiss",1980,"Bernard Tschumi"
"37","Austrian",1906,"Otto Sch<U+00F6>nthal"
"38","French and Swiss",1979,"Bernard Tschumi"
"39","French and Swiss",1979,"Bernard Tschumi"
"40","French and Swiss",1979,"Bernard Tschumi"
"41","French and Swiss",1980,"Bernard Tschumi"
"42","French and Swiss",1979,"Bernard Tschumi"
"43","French and Swiss",1979,"Bernard Tschumi"
"44","French and Swiss",1979,"Bernard Tschumi"
"45","French and Swiss",1979,"Bernard Tschumi"
"46","French and Swiss",1979,"Bernard Tschumi"
"47","French and Swiss",1979,"Bernard Tschumi"
"48","French and Swiss",1980,"Bernard Tschumi"
"49","French and Swiss",1980,"Bernard Tschumi"
"50","French and Swiss",1980,"Bernard Tschumi"
"51","French and Swiss",1980,"Bernard Tschumi"
"52","French and Swiss",1980,"Bernard Tschumi"
"53","French and Swiss",1980,"Bernard Tschumi"
"54","French and Swiss",1980,"Bernard Tschumi"
"55","French and Swiss",1980,"Bernard Tschumi"
"56","French and Swiss",1980,"Bernard Tschumi"
"57","French and Swiss",1980,"Bernard Tschumi"
"58","French and Swiss",1980,"Bernard Tschumi"
"59","French and Swiss",1980,"Bernard Tschumi"
